"Comment","Designator","Footprint","LCSC Part #"
"1uF","C1 C4 C12 C13 C15","","C52923"
"0.1uF","C2 C3 C5 C6 C7 C8 C9 C10 C11 C14 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C28 C33 C35","","C1525"
"15pF","C26 C27","","C1548"
"1nF/22kV","C29","","C304032"
"22nF","C30","","C1532"
"6.8nF","C31 C32","","C1542"
"4.7uF","C34","","C23733"
"18pF","C36 C37","","C1549"
"BAT60A","D1","","C520634"
"Conn_01x03","J1","",""
"Conn_01x20","J2 J3","",""
"600mA","L1","","C280478"
"47346-0001","P1","","C132560"
"RJ45_LED_Shielded","P2","","C910371"
"2N7002","Q1","","C8545"
"100k","R1 R8","","C25741"
"5.6k","R2","","C25908"
"10k","R3","","C25744"
"1k","R4 R6 R7","","C11702"
"200k","R5","","C25764"
"27","R9 R12","","C25190"
"10R/1%","R10","","C25077"
"4.7k","R11 R18","","C25900"
"200","R13","","C25087"
"49.9","R14 R16 R23 R24","","C25120"
"1","R15","","C25086"
"3.3","R17 R20 R21 R22","","C270612"
"470","R19 R25","","C25117"
"12.4k/1%","R26","","C11692"
"1M","R27","","C26083"
"0","R28","","C17168"
"SW_Push","SW1 SW2","","C318884"
"LM8805SF5-3.3","U1","","C126077"
"GD25Q16ETIGR","U2","","C520634"
"W5500","U3","","C32843"
"RP2040","U4","","C2040"
"Crystal_GND24","Y1","","C133334"
"C700768","Y2","","C700768"
